nfeat_bond,r_cutoff,mse,rmse,mae,r2
10,6,0.12572939241880204,0.35458340685768425,0.26804236280403887,0.28433851837403
10,7,0.13056755676683598,0.36134133000092306,0.26804236280403887,0.2567993105638908
10,8,0.12764610542998528,0.35727595137370394,0.26804236280403887,0.27342843882106427
15,6,0.136926524811549,0.37003584260386047,0.26804236280403887,0.22060356981511953
15,7,0.12253239843346263,0.35004628041655095,0.26804236280403887,0.30253605681974327
15,8,0.13084819122607627,0.36172944478722807,0.26804236280403887,0.2552019173924819
20,6,0.1318657263315895,0.3631332074206234,0.26804236280403887,0.24941002842198268
20,7,0.12006854694702777,0.34650908638450995,0.26804236280403887,0.31656049113351814
20,8,0.14640227062282046,0.38262549656657807,0.26804236280403887,0.16666688757762949
25,6,0.11961293313624813,0.34585102737486284,0.26804236280403887,0.3191538803848215
25,7,0.12356703501709736,0.35152103068962653,0.26804236280403887,0.29664682490552197
25,8,0.13661584949789699,0.369615813376399,0.26804236280403887,0.22237195786659603
30,6,0.1289355939385757,0.3590760280756371,0.26804236280403887,0.2660885699261003
30,7,0.13411710289015005,0.36622001978339475,0.26804236280403887,0.23659501792522886
30,8,0.12306828278872307,0.35081089320134157,0.26804236280403887,0.299485761385336
